source_id,content_raw,label,shows,notes,source_url,retrieved_at,excluded
nsta,Oil Well,1,false,FLOWCLASS 'Oil Well' — flowed oil; discovery; n=1181 in E&A subset 2026-07-18,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Gas Well,1,false,FLOWCLASS 'Gas Well' — flowed gas; discovery; n=683,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Gas and Oil Well,1,false,FLOWCLASS 'Gas and Oil Well' — flowed both; discovery; n=212,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Gas and Condensate Well,1,false,FLOWCLASS 'Gas and Condensate Well' — flowed gas+condensate; discovery; n=185,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Condensate Well with Gas Shows,1,false,Well class dominates the qualifier: a flowing condensate well IS a discovery (shows flag reserved for shows-only classes); n=13,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Condensate Well with Oil Shows,1,false,Well class dominates the qualifier — flowing condensate well; discovery; n=7,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Oil Well with Gas Show,1,false,Well class dominates the qualifier — flowing oil well; discovery; n=4,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Oil Well with Condensate Shows,1,false,Well class dominates the qualifier — flowing oil well; discovery; n=1,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Gas Well with Oil Show,1,false,Well class dominates the qualifier — flowing gas well; discovery; n=2,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Oil and Condensate Well,1,false,FLOWCLASS 'Oil and Condensate Well' — flowed oil+condensate; discovery; n=2,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,"Gas, Oil and Condensate Well",1,false,"FLOWCLASS 'Gas, Oil and Condensate Well' — flowed all three; discovery; n=1",https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Oil Show,0,true,Shows-only class: oil observed but no flowing well established → 0 with shows=true (sensitivity run excludes); n=555,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Gas Show,0,true,Shows-only class → 0 with shows=true; n=216,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Oil and Gas Shows,0,true,Shows-only class → 0 with shows=true; n=72,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Gas and Condensate Show,0,true,Shows-only class → 0 with shows=true; n=13,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Oil and Condensate Shows,0,true,Shows-only class → 0 with shows=true; n=4,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Dry Hole,0,false,FLOWCLASS 'Dry Hole' — no hydrocarbons; the clean negative class; n=1413,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,false
nsta,Unknown,0,false,"excluded-class: regulator explicitly records the outcome as unknown (n=63) — NOT a discovery because no hydrocarbon flow was ever established in the record; equally it is not evidence of a dry hole, so it must be excluded from training rather than trusted as a negative",https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,true
nsta,,0,false,excluded-class: FLOWCLASS null in source (n=502) — outcome never recorded or not yet released (many are recent spuds still confidential); NOT a discovery because absence of a code is absence of evidence; equally it cannot be assumed dry — exclude from training,https://opendata-nstauthority.hub.arcgis.com/datasets/b5752e9f56a949e3ad44a08144e621a8_0,2026-07-18,true
